单词,解释,次数
combination,组合,353
structure,结构体,350
suppose,假设,348
section,部分,348
arbitrary,随意,346
design,设计,342
deck,甲板,341
elevator,电梯,339
create,创建,338
site,现场,337
various,各个,326
entire,整个,326
kingdom,王国,320
border,边境,319
divide,划分,316
lease,租,314
schedule,时间表,314
constant,不变,310
include,包括,307
capacity,容量,304
infinite,无穷,301
operator,操作者,298
document,文件,293
boundary,边界,293
procedure,程序,289
collection,采集,287
fraction,分数,286
volume,卷,282
version,版,281
perform,演出,280
additional,额外,278
rate,率,275
counter,计数器,274
plus,加,272
event,事件,271
assignment,分配,269
exchange,交换,269
definition,定义,268
mission,任务,266
frog,青蛙,266
origin,起源,265
specific,具体,264
avoid,避免,263
device,设备,263
entry,条目,262
relative,相对的,261
identical,相同,258
lucky,幸运,258
division,师,255
property,属性,251
limited,有限,250
unfortunately,不幸,250
simplify,简化,249
normal,正常,249
rope,绳,248
writing,写作,247
application,应用,247
connection,连接,245
layout,布局,245
frequency,频率,244
necessarily,一定,243
screen,屏幕,242
project,项目,241
provided,提供,240
signal,信号,238
circuit,电路,238
obtain,获得,238
split,分裂,236
equivalent,当量,235
cycle,周期,234
subject,学科,234
individual,个人,233
accurate,准确,232
specify,指定,232
guarantee,保证,232
construct,构造,231
balance,平衡,230
happen,发生,229
fuel,汽油,227
communication,通讯,227
provide,提供,226
factor,因子,225
dimension,尺寸,225
priority,优先,225
layer,层,224
visible,可见,224
ability,能力,223
candidate,候选人,223
living,活的,221
replace,更换,220
highway,高速公路,220
arrange,安排,219
arrangement,安排,216
ax,斧头,215
tour,游览,215
apply,应用,215
powerful,强大,214
loop,循环,213
scheme,方案,212
action,行动,210
frame,帧,210
tunnel,隧道,209
circular,圆,207
rotate,回转,207
ratio,比,206
profit,利润,205
switch,开关,205
continuous,连续,204
transport,运输,202
ensure,确保,202
laser,激光,201
component,零件,200
bullet,子弹,200
candy,糖果,198
theory,理论,198
register,寄存器,196
complex,复杂,196
precision,精确,195
finding,发现,194
leap,飞跃,194
brick,砖,193
penalty,罚款,192
reverse,相反,192
account,帐户,191
force,力,190
possibility,可能性,190
percentage,百分比,189
major,重大的,187
scale,规模,186
dot,点,185
allow,允许,183
occupy,占据,183
calendar,日历,183
mobile,移动,183
ore,矿石,182
crossing,路口,182
cable,电缆,181
appropriate,适当,181
vehicle,车辆,181
arithmetic,算术,180
security,安全,177
tag,标签,176
construction,施工,175
remain,留,175
ancient,古,175
successive,连续,173
complicated,复杂,173
diameter,直径,173
delete,删除,171
namely,亦即,170
spot,点,170
container,容器,169
significant,重大,168
simplicity,简单,168
insert,插,167
ignore,忽视,167
mathematics,数学,166
diagram,图,165
evil,邪恶,165
stock,股票,165
competition,竞争,164
fold,折,164
subsequent,随后,162
boring,无聊,161
missing,失踪,159
flat,平面,158
zone,区,158
float,浮动,157
require,要求,156
employee,雇员,156
identify,鉴定,155
distribution,分配,155
requirement,需求,155
link,链接,154
measure,测量,153
opponent,对手,153
chip,芯片,151
gear,齿轮,151
reference,参考,150
relationship,关系,150
subway,地铁,148
efficient,高效,147
log,日志,147
challenge,挑战,147
outer,外,146
multiply,乘,146
coach,教练,146
minus,减去,145
charge,收费,145
stream,流,145
digital,数字,143
package,包,142
unless,除非,141
virus,病毒,141
interior,室内,140
sphere,领域,140
gene,基因,139
contact,联系,138
gravity,重力,137
mass,块,137
selection,选择,137
mathematical,数学的,136
arrival,到达,136
paragraph,段,136
independent,独立,135
material,材料,135
arrow,箭头,135
implement,实行,134
support,支持,134
correspond,对应,133
beam,光束,133
assign,分配,132
terminal,终奌站,132
evaluate,评估,132
manner,方式,132
inner,内,131
journey,旅程,130
access,访问,130
thinking,思维,130
calculator,计算器,130
learned,学到了,129
stable,稳定,128
leader,领导,127
obstacle,障碍,127
barn,谷仓,127
shift,转移,126
supply,供应,126
transform,转变,124
via,通过,124
sensitive,敏感,123
overall,总体,123
museum,博物馆,123
technology,技术,123
title,标题,122
client,客户,121
vice,副,120
internal,内部,120
strip,跳闸,120
weapon,武器,120
physical,物理,119
potential,潜在,118
illegal,非法,117
convert,兑换,115
chemical,化学,115
occurrence,发生,115
heap,堆,115
guy,家伙,115
missile,导弹,114
kid,孩子,114
transportation,运输,113
primary,主,113
market,市场,113
decrease,减少,113
compare,比较,113
generator,发电机,112
category,类别,112
attempt,尝试,111
owner,所有者,111
transfer,转让,111
departure,离开,110
packet,包,109
curious,好奇,109
transmission,传输,109
performance,性能,109
military,军事,109
crystal,水晶,108
rail,轨,108
curve,曲线,107
dragon,龙,107
logic,逻辑,106
apart,距离,106
status,状态,105
expectation,期望,105
regardless,而不管,105
peak,峰,105
critical,危急,105
beyond,外,104
bet,赌注,104
gap,间隙,103
sufficient,足够,103
specifically,特别,103
disappear,消失,102
observation,意见,102
lane,车道,102
worm,虫,102
chief,首席,101
tax,税,101
keyboard,键盘,101
soda,苏打,101
feature,特征,100
fund,基金,99
latter,后者,99
advanced,高级,99
attribute,属性,98
bound,界,98
exception,例外,98
ancestor,祖先,98
furthermore,此外,98
resource,资源,98
intermediate,中间,97
quote,引用,97
bid,出价,97
execute,执行,97
issue,问题,96
expansion,扩张,96
intelligence,情报,96
detect,检测,95
former,前任的,95
delivery,交货,95
partial,局部,95
vote,投票,95
sin,罪,95
estimate,估计,94
chamber,室,94
setting,设置,93
cargo,货物,93
activity,活动,93
collision,碰撞,92
platform,平台,92
distribute,分发,92
survive,生存,92
trap,陷阱,91
resistance,抵抗性,91
prove,证明,91
handle,处理,90
typical,典型,89
consistent,一贯,89
trail,落后,89
channel,渠道,88
recover,恢复,88
agent,代理人,88
jury,陪审团,87
fee,费用,87
accuracy,准确性,87
nearby,附近,87
hence,于是,87
click,点击,87
obvious,明显,87
campus,校园,86
cash,现金,86
fortunately,幸好,85
radar,雷达,85
currency,货币,85
response,响应,85
corridor,走廊,85
besides,除了,85
geometry,几何,84
species,种类,84
pack,包,83
install,安装,83
moreover,此外,83
province,省,82
portion,一部分,82
communicate,通信,82
rod,竿,82
predict,预测,81
satellite,卫星,81
motion,运动,80
approach,途径,80
extend,延伸,80
precise,精确,80
forth,向前,80
eliminate,消除,80
backward,落后,79
scissors,剪刀,79
capture,捕获,79
rational,合理的,78
shelter,庇护,78
rocket,火箭,78
logical,合乎逻辑,78
committee,委员会,78
universe,宇宙,78
deposit,存款,77
launch,发射,77
intelligent,智能,77
analysis,分析,77
railway,铁路,77
active,活性,76
submit,提交,76
hook,钩,76
behavior,行为,76
background,背景,76
explode,爆炸,76
hint,暗示,75
yield,产量,75
convenience,方便,75
organization,组织,75
plug,插头,74
cast,投,74
devil,魔鬼,74
appearance,出现,74
responsible,主管,73
annual,全年,73
effort,功夫,73
improve,提高,73
author,作者,73
grammar,语法,72
maintain,保持,72
rid,摆脱,72
release,发布,72
assistant,助理,72
slice,片,72
airport,飞机场,72
advantage,优点,72
staff,员工,72
objective,目的,71
somewhat,有些,71
electronic,电子,71
quotation,行情,71
definitely,无疑,71
preference,偏爱,71
male,男,70
territory,领土,70
molecule,分子,70
duration,持续时间,70
highly,高度,70
hire,聘请,70
learning,学习,70
barrier,屏障,69
verify,校验,69
magnetic,磁性,69
similarly,同样,69
capable,能,69
brand,牌,69
balloon,气球,69
risk,风险,68
session,会议,68
salary,薪水,68
empire,帝国,68
apartment,公寓,68
dash,短跑,68
nature,性质,68
vacant,空的,68
density,密度,68
mysterious,神秘,68
greedy,贪婪,67
election,选举,67
patch,补丁,67
pad,垫,67
bond,键,67
phase,相,67
proceed,继续,67
anniversary,周年,67
technique,技术,66
elementary,初级,66
pillar,支柱,66
prior,先,66
conflict,冲突,66
shield,屏蔽,65
panel,面板,65
deadline,截止日期,65
precious,珍贵,65
automatic,自动,64
outcome,结果,64
union,联盟,64
compound,复合,64
grand,盛大,64
whereas,而,64
pour,倒,64
management,管理,64
core,核心,64
modify,修改,64
female,女,63
atomic,原子,63
assumption,假设,63
storage,存储,63
distinguish,区分,62
engine,发动机,62
normally,一般,62
sake,清酒,62
virtual,虚拟,62
basis,基础,61
crash,紧急,61
bulb,灯泡,61
pole,极,61
approximate,近似,60
script,脚本,60
extension,延期,60
lord,主,60
repetition,重复,60
official,官方,60
outline,大纲,59
electricity,电力,59
dam,坝,59
preceding,前,59
chase,追,59
idle,闲,59
compass,罗盘,59
combine,结合,59
reflection,反射,59
monitor,监控,59
rare,罕见,58
ideal,理想,58
credit,信用,58
tone,音,58
optional,可选的,58
budget,预算,58
respective,各自,58
participate,参加,58
classic,经典,58
vary,变化,58
efficiency,效率,58
wolf,狼,58
effective,有效,57
reasonable,合理,57
anyway,无论如何,57
heading,标题,57
railroad,铁路,57
comment,评论,56
exclusive,独家,56
establish,建立,56
instant,瞬间,56
analyze,分析,56
repeatedly,反复,56
headquarters,司令部,56
encounter,遭遇,56
marry,结婚,55
raw,生的,55
agency,机构,55
demand,需求,55
video,视频,55
financial,金融,55
humble,谦卑,55
installation,安装,55
declaration,宣言,55
defeat,击败,55
comparison,对照,55
expert,专家,55
compete,竞争,55
private,私人的,55
unlike,不像,54
facility,设施,54
proposal,提案,54
aggressive,侵略性,54
mixture,混合物,54
affect,影响,54
utility,效用,54
battery,电池,54
unusual,异常,53
vacation,假期,53
weekly,每周,53
contract,合同,53
identity,身分,53
observe,守,53
downward,向下,53
preliminary,初步,53
aid,援助,52
altitude,高度,52
explore,探索,52
rescue,拯救,52
obey,遵守,52
replacement,替代,52
consume,消耗,52
detail,详情,52
liquid,液体,51
recognize,认识,51
option,选项,51
electrical,电动,51
succession,演替,51
royal,王室的,51
acid,酸,51
electric,电动,51
payment,付款,51
patient,患者,51
engineering,工程,50
editor,编辑,50
audience,听众,50
slope,坡,50
reward,奖励,50
lemon,柠檬,50
festival,节,50
reliable,可靠,49
formal,正式,49
claim,要求,49
secure,安全,49
underground,地下,49
accident,事故,49
restore,恢复,49
mayor,市长,49
organize,组织,48
discard,丢弃,48
frequent,频繁,48
furniture,家具,48
illustrate,说明,48
hardware,硬件,48
consumption,消费,48
principle,原理,48
bucket,桶,48
explosion,爆炸,48
commander,指挥官,48
concept,概念,47
theoretical,理论,47
proportional,成比例的,47
ease,缓解,47
slide,滑动,47
corporation,公司,47
license,执照,47
accomplish,完成,47
social,社会,47
bacteria,菌,47
fairly,相当,46
culture,文化,46
inhabitant,居民,46
alternative,替代,46
billion,十亿,46
proof,证明,46
locate,定位,46
concern,关心,46
honey,蜜糖,46
outlet,出口,46
giant,巨人,46
decorate,装饰,46
minister,部长,45
ash,灰,45
bulk,块,45
faulty,不完善的,45
fountain,喷泉,45
protein,蛋白,45
tide,浪潮,45
navigation,导航,45
routine,常规,44
sightseeing,观光,44
fulfill,履行,44
receiver,接收器,44
pace,步伐,44
afford,给予,44
ridge,岭,44
cue,球杆,44
involve,涉及,43
nuclear,核,43
transparent,透明,43
tedious,乏味,43
eve,前夕,43
marriage,婚姻,42
appointment,约定,42
airplane,飞机,42
incident,事件,42
crane,起重机,42
merely,仅仅,42
motor,发动机,42
ingredient,成分,42
argument,论据,42
mutual,相互,42
thick,厚,42
remote,远程,42
mental,心理,42
pitch,沥青,42
copper,铜,42
environment,环境,42
limitation,局限性,42
reflect,反映,42
senior,前辈,42
daylight,阳光,42
mess,食堂,41
somehow,不知何故,41
omit,忽略,41
purchase,采购,41
variety,品种,41
influence,影响,41
absent,缺席,41
housing,住房,41
sophisticated,复杂的,41
surrounding,周围,41
graduate,毕业,41
bunch,束,41
scientific,科学,41
consideration,考虑,41
particularly,尤其,41
illustration,插图,41
loan,贷款,41
reservation,保留,41
lover,情人,40
delicious,美味的,40
protection,保护,40
relevant,相应,40
convention,惯例,40
focus,焦点,40
historical,历史的,40
strategic,战略,40
classical,古典,39
expand,扩大,39
fleet,舰队,39
merit,值得,39
failure,失败,39
assist,助攻,39
subtract,减去,39
existence,存在,39
trace,跟踪,39
opportunity,机会,39
translation,翻译,39
collapse,坍方,39
semester,学期,39
avenue,大街,39
garbage,垃圾,39
formation,编队,39
scan,扫描,39
transmit,发送,38
band,带,38
signature,签名,38
fashion,时尚,38
pressure,压力,38
margin,余量,38
orbit,轨道,38
intensity,强度,38
static,静态的,38
reduction,减少,38
aware,知道的,38
umbrella,雨伞,38
tube,管,38
sacrifice,牺牲,37
adventure,冒险,37
optical,光纤,37
constitute,构成,37
centimeter,厘米,37
observer,观察者,37
policy,政策,37
ugly,丑陋,37
herd,放牧,37
intellectual,知识分子,36
swing,摇摆,36
emotional,情绪化,36
civilization,文明,36
yearly,每年,36
assembly,部件,36
attach,连接,36
landscape,景观,36
majority,多数,36
adjust,调整,36
aspect,方面,36
brilliant,辉煌,36
brave,勇敢,36
champion,冠军,36
usage,用法,35
media,媒体,35
poem,诗,35
settle,解决,35
stroke,行程,35
topic,话题,35
measurement,测量,35
rat,鼠,35
shell,贝壳,35
discount,折扣,35
helicopter,直升机,35
bubble,泡沫,35
span,跨度,34
council,评议会,34
scope,范围,34
harm,危害,34
plot,情节,34
dependent,依赖的,34
solar,太阳能,34
wrap,包,34
tough,强硬,34
tray,托盘,34
troop,部队,34
chest,胸部,34
ally,盟友,34
medal,勋章,34
meanwhile,与此同时,34
mechanism,机制,33
technician,技术员,33
impact,碰撞,33
trunk,树干,33
vocabulary,词汇,33
rent,出租,33
assemble,集合,33
gram,公克,33
radiation,辐射,33
earthquake,地震,33
surplus,剩余,32
fiber,纤维,32
salesman,推销员,32
stuff,东东,32
community,社区,32
childhood,童年,32
court,法庭,32
minor,次要,32
summary,概要,32
invisible,无形,32
presentation,介绍,32
scenery,风景,32
harmony,和谐,32
crown,王冠,32
grant,发放,31
laboratory,实验室,31
pit,坑,31
hell,地狱,31
oxygen,氧,31
plastic,塑料,31
variation,变异,31
reality,现实,31
investigate,调查,31
architect,建筑师,31
dormitory,宿舍,31
ceremony,仪式,31
metric,公,31
frontier,边境,31
removal,切除,30
superior,优越,30
phenomenon,现象,30
offense,罪行,30
restrict,限制,30
essential,必要,30
improvement,起色,30
detection,发现,30
ultimate,最终,30
concentration,浓度,30
underneath,下,30
bean,豆,30
assure,保证,30
joint,联合,30
van,面包车,30
holy,圣,30
survey,调查,30
destruction,毁坏,30
colony,殖民地,30
fairy,仙女,30
sword,剑,29
surround,环绕,29
gang,结伙,29
fragment,分段,29
export,出口,29
librarian,图书管理员,29
interpretation,解释,29
profile,轮廓,29
suspect,疑似,29
desirable,合意,29
voltage,电压,29
saving,保存,29
attractive,有吸引力,29
mechanical,机械,29
bearing,轴承,29
responsibility,责任,29
outstanding,优秀,29
maintenance,保养,29
definite,定,29
striking,引人注目,29
principal,主要,29
cheat,作弊,29
vessel,船只,29
pilot,飞行员,28
significance,意义,28
rob,抢,28
bay,湾,28
tend,趋向,28
naturally,自然,28
whichever,任何,28
peculiar,奇特,28
classification,分类,28
desire,欲望,28
resort,采取,28
feasible,可行,28
representative,代表,28
characteristic,特性,28
bat,蝙蝠,28
glance,一瞥,27
crime,犯罪,27
professional,专业的,27
introduction,介绍,27
consequence,后果,27
contrast,对比,27
depart,离开,27
conference,会议,27
vision,视力,27
accordingly,于是,27
estate,房地产,27
reaction,反应,27
talent,天赋,27
mask,面具,27
diplomatic,外交,26
manual,手册,26
probable,可能,26
plural,复数,26
economy,经济,26
stretch,伸展,26
crisis,危机,26
echo,回声,26
contrary,相反,26
evidence,证据,26
trial,审讯,26
disaster,灾害,26
invitation,请帖,26
scholarship,奖学金,26
filter,过滤,26
mention,提到,26
aircraft,飞机,26
genius,天才,26
wealth,财富,26
publish,发布,26
criminal,刑事,26
arise,出现,26
concrete,具体,25
respond,响应,25
tropical,热带,25
fantastic,奇妙,25
thereby,从而,25
proportion,比例,25
confidence,置信度,25
quit,放弃,25
extreme,极端,25
worldwide,全世界,25
medium,中,25
painter,画家,25
reject,拒绝,25
global,全球,25
combat,战斗,25
personality,个性,25
attract,吸引,25
trend,趋势,25
pond,池塘,25
growth,发展,25
mushroom,蘑菇,25
lawn,草坪,24
classify,分类,24
artificial,人造,24
neglect,忽略,24
bundle,束,24
interpret,译,24
manufacturer,生产厂家,24
contribute,有助于,24
comprise,包括,24
favor,偏爱,24
lap,膝部,24
explosive,爆炸物,24
enclose,括,24
substitute,替代,24
crucial,关键,24
temporary,临时,24
perspective,透视,24
airline,航空公司,24
invent,发明,24
demonstrate,演示,24
imply,意味着,24
mystery,神秘,24
particle,粒子,24
understanding,理解,24
spelling,拼字,24
marine,海洋,24
mood,心情,24
disease,疾病,24
kindergarten,幼儿园,24
carbon,碳,24
disorder,紊乱,24
permanent,常驻,23
primitive,原始,23
straw,稻草,23
secondary,次要,23
indication,迹象,23
suicide,自杀,23
commit,承诺,23
ministry,部,23
presence,存在,23
emit,发射,23
attraction,引力,23
convince,说服,23
enable,启用,23
twist,捻,23
alarm,报警,23
investment,投资,23
grain,粮食,23
preparation,制备,23
skilled,技能的,23
jungle,丛林,23
breed,品种,23
benefit,效益,23
spacecraft,宇宙飞船,23
rigid,死板,23
compress,压缩,23
withdraw,收回,23
visual,视觉,23
despite,尽管,23
menu,菜单,23
chart,图表,23
association,协会,23
horrible,可怕,22
beloved,心爱,22
tradition,传统,22
external,外部,22
fundamental,基本的,22
associate,关联,22
poison,毒,22
indirect,间接,22
equality,平等,22
invention,发明,22
abstract,抽象,22
amateur,业余,22
inform,通知,22
accelerate,加速,22
dumb,哑,22
campaign,运动,22
emergency,急,22
expense,费用,22
nest,巢,22
patience,忍耐,22
anxious,急,22
snap,卡,22
romantic,浪漫,22
temple,寺庙,22
recognition,承认,22
knot,结,22
jewel,宝,22
rebel,反叛,22
recall,召回,21
sector,扇形,21
widow,寡妇,21
married,已婚,21
mineral,矿物,21
sketch,草图,21
possess,具有,21
civil,国内,21
acute,急性,21
endless,无穷,21
universal,普遍,21
purple,紫色,21
crew,船员,21
mainland,大陆,21
emperor,皇帝,21
victim,受害者,20
volunteer,志愿者,20
gallon,加仑,20
architecture,建筑,20
reservoir,池,20
regarding,关于,20
fancy,幻想,20
fierce,激烈,20
innocent,无辜,20
nevertheless,虽然,20
rely,依靠,20
sunlight,阳光,20
threat,威胁,20
absence,缺席,20
clause,条款,20
prosperous,繁荣,20
jail,监狱,20
conquer,征服,20
dip,蘸,20
reform,改革,19
justice,正义,19
violet,紫色,19
infer,推断,19
confusion,混乱,19
slight,轻微,19
artistic,艺术的,19
qualify,修饰,19
increasingly,日益,19
devise,设计,19
resolution,解析度,19
pollution,污染,19
cope,应付,19
nightmare,恶梦,19
glory,荣耀,19
remind,提醒,19
economic,经济,19
fare,票价,19
compose,撰写,19
monument,纪念碑,19
suffer,遭受,19
treatment,治疗,19
paste,糊,19
ghost,鬼,19
dynamic,动态,18
mud,泥,18
draft,草案,18
blast,爆破,18
concerning,关于,18
resolve,解决,18
awful,可怕,18
spin,纺,18
numerous,众多,18
commission,佣金,18
advertise,广告,18
carriage,运输,18
barrel,桶,18
interview,访问,18
trash,垃圾,18
pill,丸,18
troublesome,麻烦,18
conclusion,结论,18
horizon,地平线,18
interfere,干扰,18
relax,放松,18
slip,滑,18
telescope,望远镜,18
hydrogen,氢,18
feedback,反馈,18
reception,招待会,18
catalog,目录,18
creature,生物,18
hip,臀部,18
wisdom,智慧,18
descend,降落,18
preserve,保留,18
consequently,所以,18
administration,行政,17
hobby,爱好,17
extraordinary,非凡,17
competitive,竞争的,17
heel,脚跟,17
lightning,闪电,17
neutral,中性,17
dramatic,戏剧性,17
priest,牧师,17
severe,严重,17
overcome,克服,17
acquire,获得,17
entertainment,娱乐,17
shortly,不久,17
accordance,按照,17
conventional,常规,17
elaborate,阐述,17
propose,提出,17
likewise,同样,17
apparent,明显的,17
chaos,混沌,17
whistle,哨,17
commercial,广告,17
tidy,整洁,17
hearing,听力,17
meantime,与此同时,17
rival,对手,17
personnel,人员,17
spider,蜘蛛,17
vast,广大,17
burst,爆裂,17
notebook,笔记本,17
helpful,有帮助,17
beneath,下面,17
clay,粘土,17
foundation,基础,17
summit,首脑,17
revenue,收入,17
chop,劈,17
invade,入侵,17
impression,印象,17
flash,闪,17
recommend,推荐,16
justify,辩解,16
portrait,肖像,16
jeans,牛仔裤,16
sunset,日落,16
mechanic,机械,16
religious,宗教,16
truly,真,16
disposal,处置,16
singular,单数,16
amongst,当中,16
loose,疏松,16
correspondence,对应,16
alike,一样,16
occasion,场合,16
imaginary,假想,16
dorm,宿舍,16
import,进口,16
retain,保留,16
abundant,丰富,16
laundry,洗衣店,16
excess,过量,16
evolution,演化,16
freight,货物,16
debt,债务,16
biology,生物学,16
incredible,难以置信,16
reveal,揭示,16
bounce,弹跳,16
dull,平淡,16
leak,泄漏,16
preferable,最好,16
grab,抓,16
advertisement,广告,16
stake,赌注,16
clap,拍,16
donkey,驴,16
dominate,支配,15
satisfactory,满意的,15
aside,在旁边,15
adopt,采用,15
interaction,相互作用,15
elect,选,15
considerable,大量,15
dissolve,溶解,15
cattle,黄牛,15
admit,承认,15
scratch,刮,15
cancel,取消,15
qualification,合格,15
curse,诅咒,15
upset,烦乱,15
theme,主题,15
orderly,整齐的,15
possession,所有权,15
arrest,逮捕,15
clue,线索,15
unexpected,意外,15
crowd,人群,15
sunshine,阳光,15
county,县,15
polish,抛光,15
craft,手艺,15
dessert,甜点,15
parade,游行,15
alter,改变,15
household,家庭,15
magnificent,华丽的,15
parliament,议会,15
cliff,悬崖,15
accumulate,积累,14
parcel,包,14
sunrise,日出,14
drawer,抽屉,14
intend,打算,14
pine,松树,14
confident,信心,14
grape,葡萄,14
oven,烤箱,14
exploit,利用,14
cabinet,内阁,14
brief,简要,14
bare,裸,14
career,事业,14
allocate,分配,14
applicant,申请人,14
absorb,吸收,14
exterior,外观,14
confirm,确认,14
impatient,不耐烦,14
authority,权威,14
fate,命运,14
massive,大规模的,14
calm,冷静,14
conduct,进行,14
faculty,学院,14
basically,基本上,14
audio,音频,14
tragedy,悲剧,14
rear,后,14
ditch,沟,14
correspondent,通信者,14
forecast,预测,14
panic,恐慌,14
partner,伙伴,14
tractor,拖拉机,14
drag,拖动,14
roast,烤,14
pants,裤子,14
agenda,议程,14
creative,创作的,13
auto,汽车,13
junior,初级,13
inferior,下,13
organ,器官,13
wicked,邪恶,13
resident,居民,13
surrender,投降,13
confuse,迷惑,13
sole,唯一,13
uncover,揭露,13
hammer,锤子,13
mere,只,13
stripe,条纹,13
enormous,巨大,13
presumably,想必,13
clerk,书记,13
imagination,想像力,13
emerge,出现,13
physicist,物理学家,13
elsewhere,别处,13
survival,生存,13
mount,安装,13
contribution,贡献,13
conquest,征服,13
insist,咬定,13
writer,作家,13
dose,剂量,13
spade,铲,13
roller,滚筒,13
casual,随便,13
spray,喷雾,13
merchant,商人,13
crawl,爬行,13
worship,崇拜,13
curiosity,好奇心,13
machinery,机械,13
framework,骨架,12
tendency,趋势,12
highlight,突出,12
vital,重要,12
pat,拍,12
recovery,复苏,12
argue,争论,12
concentrate,集中,12
executive,行政人员,12
render,给予,12
resistant,耐,12
wealthy,富裕,12
interference,干扰,12
primarily,主要,12
ruin,废墟,12
dense,稠密,12
reserve,保留,12
rarely,很少,12
drunk,醉,12
govern,治理,12
economical,经济,12
extent,程度,12
elastic,弹,12
admire,欣赏,12
derive,派生,12
thorough,彻底,12
specialist,专家,12
tremendous,巨大,12
tackle,滑车,12
dirt,污垢,12
mankind,人类,12
adult,成人,12
undergraduate,大学本科,12
lump,块,12
fatigue,疲劳,12
encourage,鼓励,12
inquiry,查询,12
era,时代,12
mosquito,蚊子,12
hunt,打猎,12
achievement,成就,11
glue,胶,11
tension,张力,11
employer,雇主,11
shortage,短缺,11
stress,强调,11
episode,插曲,11
impressive,有声有色,11
sustain,支持,11
gardener,园丁,11
industrial,产业,11
witness,见证,11
discipline,学科,11
atmosphere,大气层,11
impress,印,11
literature,文学,11
sideways,侧身,11
domestic,国内,11
extensive,广泛,11
practically,几乎,11
residence,住宅,11
regulation,规,11
violate,违反,11
establishment,编制,11
academy,学院,11
virtually,实质上,11
gallery,画廊,11
notion,概念,11
inspect,检查,11
detective,侦探,11
keen,敏锐,11
refrigerator,冰箱,11
remarkable,卓越,11
urgent,紧急,11
instrument,仪器,11
chapter,章节,11
volcano,火山,11
splendid,灿烂,11
blade,刀,11
landlord,房东,11
thunder,雷,11
insurance,保险,10
inevitable,必然,10
utilize,利用,10
conjunction,连词,10
viewpoint,观点,10
liter,升,10
spoil,溺爱,10
consultant,顾问,10
aboard,船上,10
seal,密封,10
leather,皮革,10
ignorance,无知,10
unload,卸下,10
peer,窥视,10
isolate,隔离,10
specimen,标本,10
sensible,明智,10
insight,眼光,10
exhibit,展示,10
flexible,灵活,10
nephew,外甥,10
penetrate,穿透,10
fasten,系,10
assess,评估,10
hollow,空洞,10
contradiction,矛盾,10
abroad,国外,10
crack,裂纹,10
academic,学术的,10
liberty,自由,10
complain,抱怨,10
resume,恢复,10
statistic,统计,10
enhance,提高,10
behave,表现,10
grace,恩典,10
debate,辩论,10
desperate,殊死,10
appliance,器具,10
steady,稳定,10
skillful,熟练,10
conservative,保守,10
drift,漂移,10
hay,干草,10
carpet,地毯,10
worthy,值得,10
assistance,帮助,10
portable,手提,10
millimeter,毫米,10
dump,倾倒,10
vivid,生动,10
frost,霜,10
injury,伤,10
butterfly,蝴蝶,10
fog,多雾路段,10
occasional,偶然,9
elegant,优雅,9
comb,梳,9
trumpet,喇叭,9
palm,棕榈,9
crush,粉碎,9
inward,向内的,9
overhead,高架,9
jar,罐,9
despair,绝望,9
weaken,削弱,9
manufacture,制造,9
exclude,排除,9
alongside,并肩,9
resemble,类似,9
magnet,磁铁,9
abandon,放弃,9
hopeless,绝望,9
alert,警报,9
enforce,执行,9
resist,抗,9
revolutionary,革命的,9
erect,直立,9
experimental,试验,9
